text,aspect,sentiment,score
muas kan pdhl baru pertama kali guna app grab,aplikasi,positif,5
sekarang lot poll buat buka aplikasi,aplikasi,negatif,2
buat aplikasi sih bagus rangin iklan ganggu gua main game jadi ngulang kan tll pencet dikit masuk aplikasi njingggg,aplikasi,positif,3
baik server buka aplikasi lot minta ampun aplikasi aja lancar jaya dulu padahal tidak masalah bulan kok lot sekali,aplikasi,positif,1
bagusmbatu terima kasih,lainnya,positif,5
entahlahh grab slalu nyaman ramah,keamanan,positif,5
sangat bantu mudah jalan sukses selalu buwat grab good job,lainnya,positif,5
aplikasi lemott,aplikasi,netral,3
sedang sampai keluh cs gran atas nama kiky masalah belum atas chat langsung akhir cs layan cs sangat tidak muas bina perlu binasa,layanan,negatif,1
bagus banget dapet promo terus bantu buat pesan antar kalau laper dada mantap,lainnya,positif,5
goood,lainnya,positif,5
bagus jamin,lainnya,positif,5
dong cepat cari driver grabfood lama bener soal keburu lapar,driver,positif,1
kurir rumah,lainnya,positif,5
tidak bayar metode dana,lainnya,positif,4
mahal bener sekarang kalau beli lewat grab vc makin pelit,lainnya,negatif,2
simple sangat bantu,lainnya,positif,5
goblog mahal,lainnya,negatif,1
bantu sekali,lainnya,positif,5
grab keren sangat mem bantu,lainnya,positif,5
cepat praktis,lainnya,positif,5
driver ramah n komunikatif,driver,positif,5
sangat puas aplikasi sangat bantu,aplikasi,positif,5
alamat grab food jangan sama alamat,lainnya,positif,4
kalau pesan grab food banyak pesan driver jadi lama nganterin,driver,negatif,1
promo banyak sekali aku suka pake aplikasi tetap tahan,aplikasi,positif,5
gesit,lainnya,positif,5
ramah cepat sopan,lainnya,positif,5
good adain promo grb food jangan resto tentu,lainnya,positif,4
aplikasi bagus banget,aplikasi,positif,5
tiba tepat,lainnya,positif,5
bagus batu tidak punya mobil biaya murah,harga,positif,5
menbantu sangat praktis,lainnya,positif,5
ramah tepat waktu,lainnya,positif,5
knp ko aplikasi grab g gambar padahal hbis d baru mau pesan apa susah g liat gambar gimn c,aplikasi,negatif,3
pilih antar motor pilih lokasi jemput keluar pilih mobil bagi motor tulis ubah jemput antar ulang proses update aplikasi tetap muncul pilih mobil,aplikasi,negatif,2
pokok mantaplh pke grab tolong bget,lainnya,positif,4
terima kasih bantu,lainnya,positif,5
kasih bintang gamau rusak reputasi buat kan kompirmasi mesan jeda pencet langsung harga tinggi buat nyesek,harga,positif,5
pelanyanan baik harga serba murah cepat tiba,harga,positif,5
so good,lainnya,positif,5
sangat mudah sekali,lainnya,positif,5
apk hasil manfaat driver seluruh dunia,aplikasi,positif,5
sering lelet skrg aplikasi,aplikasi,negatif,5
baik jalan aman tidak ngebut,keamanan,positif,4
cepat layan,layanan,positif,5
rasa enak poll,lainnya,positif,5
mantap banget,lainnya,positif,5
kalau urgent suka loading lama padahal jaring aman kuota lg banyak tlg baik,keamanan,positif,1
bantu mesan vis online,lainnya,positif,5
aplikasi lengkap banget grabbike buat kejar jam kantor grabfood banyak resto enak grabexpress kalau mau kirim paket driver sopan helm bersih bayar pake grabpay jadi tidak ribet kembali,aplikasi,positif,5
mantap semangat kuat,lainnya,positif,5
armada nyaman bersih,keamanan,positif,5
terimakasih baik,lainnya,positif,5
pasang app grab,aplikasi,positif,5
aplikasi sgt canggih semua butuh semua thanks,aplikasi,positif,5
easy using,lainnya,positif,5
baik tepat waktu,lainnya,positif,5
kesel apk suka keluar sendiri,aplikasi,negatif,1
pesan tengah malam makan situ restonya konfirmasi pesan tidak kurir antar jadi aplikasi otomatis batal bayar apa cek saldo kok kurang nyata uang tahan banyak kali hubung pusat bantu hari lebih uang tahan belum rekening mei layan sangat kurang,layanan,negatif,1
grab si skrng lot banget heran gw,lainnya,positif,5
sellsingapore kasih bintang bang,lainnya,negatif,1
sopan nyaman sekali,keamanan,positif,5
grab klu ngebatalin jalan dana jarang kembaliin aku dh sering tidak balikin,lainnya,netral,3
bagusss aplikasi manfaat praktis,aplikasi,positif,5
ken daftar grab motor gmna iya cara mohon bantu,lainnya,positif,4
beli pulsa aplikasi grab baik ribet banget mau laku bayar tunda nunggu jam pikir orang ngga punya sibuk jangan sulit grabfood lama jam jam pantesan lama driver ngga cuma satu pesan antar pesan beda sama aplikasi belah gofood order pesan langsung antar,aplikasi,positif,1
selamat pagi admin grab selaku langgan tetap ojol minta jangan banyak promo mulu kasihan sama mitra driver aplikasi cari rezeki gara banyak promonya mulu nihh mohon info lebih lanjut terima kasih,aplikasi,negatif,1
apk lol mau sen makan apk ngelag error sendiri coba sen uda jam lebih uda ngerestart hape tetep gabisa,aplikasi,negatif,1
sangat baik santun,lainnya,positif,5
keren banget,lainnya,positif,5
muas nyah apk inh jalan sayah makin cepat mksih tahan kan pkt hemat nyah sangat bantu,aplikasi,positif,5
aplikasi goblok panjang masa dipake tiap hari bayar sesuai jatuh tempo eh limitny diilangin lawak,aplikasi,negatif,1
lebih mudah banyak promonya,lainnya,positif,5
bgitu banyak fitur update hrs mb,lainnya,negatif,1
bikinin grab cewek plis awokwok,lainnya,positif,5
gabisa login,lainnya,negatif,1
bayar sering gagal guna via superbank,lainnya,netral,3
aplikasi lancar,aplikasi,positif,5
moga kemudi ojek online rama customer,lainnya,positif,5
maaf mitra grab kasih bintang kalau order suka dapat kemudi jauh kadang nunggu lama tengah jln tiba dicancel trs kadang mud kasar tidak ramah mood an,lainnya,negatif,1
abang ramah mobil bersih,lainnya,positif,5
grab mantaf,lainnya,positif,5
baguss,lainnya,positif,5
cukup puas,lainnya,positif,5
makin buruk,lainnya,negatif,1
aplikasi greb mudah klau pergi jauh,aplikasi,positif,5
good job n amanah,keamanan,positif,5
mau pesan buah aja susah mau klik pesan tidak ribet,lainnya,negatif,1
sopir sangat sahabat,lainnya,positif,5
keren tpt wktu,lainnya,positif,5
aju paylater ovo grab tpi tidak tarik terus,lainnya,negatif,1
udah jadi x double order gara maps abang grabnya tidak jalan chat tidak bales gilir order tau grab pertama sampe baik karna kasi driver guna jadi bingung,driver,positif,3
sangat nyaman,keamanan,positif,5
saran kalau status mud dekat tetap beri deadline waktu jemput masa driver udah dekat kayak sengaja ulur waktu lebih menit,driver,negatif,2
internet lancar buka sosmed lancar buka aplikasi lancar mau order grab muncul notofikasi cek koneksi jaring coba terupdate clear cache tetap error d benah bug sangat susah,aplikasi,negatif,1
aplikasi sangat penting kerja mobile,aplikasi,positif,5
sangat luar biasa,lainnya,positif,5
makin gampang mau kamane,keamanan,positif,5
sangat bantu aktivitas,lainnya,positif,5
alhamdulillah lama pakai greb sangat aman san nyaman,keamanan,positif,5
sering banget ngelag pake aplikasi grab,aplikasi,negatif,1
menu ribet,lainnya,negatif,1
the best online food drive service,lainnya,positif,5
estimasi pesan molor,lainnya,negatif,1
aplikasi sangat bantu sarana transportasi,aplikasi,positif,5
layan bagus aplikasi bagus tidak susah nyari langsung tidak perlu nunggu lama harga murah,layanan,positif,5
kemudi ramah baik,lainnya,positif,5
ayam kecil bakar lalap,lainnya,positif,4
cinta berat grab pake promo driver ttp ramah tidak byk drama gampang dihubungin cepet gerak ramah bkn buzzer org baru kecewa apk sblh,aplikasi,positif,5
pesan grabfood kok lama sekali proses terus terus batal sistem,aplikasi,negatif,1
terimakasih peduli nyaman aman tumpang,keamanan,positif,5
mahal banget ongkir food buset,harga,negatif,3
tidak jauh gojek drever kyak kucing punya nyawa utama motor mobil tidak jauh beda salah benar mintak benar gara punya komunitas,lainnya,positif,5
jelek banget kemudi lama ngambil makan aja nunggu jam terus kemudi mutar muter gajelas,lainnya,negatif,1
plis lengkap metode bayar biar gampang beli apa apa tuh grab qris dana gopay gitu masukin alat bayar,lainnya,positif,4
very good for all your needs,lainnya,positif,5
cepat ramah,lainnya,positif,5
puas banget,lainnya,positif,5
bagus suka bnget,lainnya,positif,5
fiturnya order real time thank you,lainnya,positif,4
aplikasi buruk paksa pakai map grab padahal map jauh sempurna sering sesat rute,aplikasi,negatif,1
tidak kalau grab food kasih langkah aja aku alam pencet padahal liat harga makan betul liat makan mahal malah tepencet jadi bayar k padahal tidak ken overall bagus,harga,positif,5
lama instalnya,lainnya,negatif,2
an application that has many benefits for many people who need to travel to a place where this application has been used by many people,aplikasi,positif,5
mudah guna banyak pilih layan mudah guna,layanan,positif,5
buruk tidak bayar transfer bank,lainnya,negatif,1
tdi skitar pkul isi ulang k saldo skitar k pergi guci potong k harus k saldo knp tggal k k untung cuma isi sdkit gimana klau isi saldo bnyak psti hilangya bnyak mau tanya bgung g tau tanya siapa akhir upload sini nyari link kasih susah duit sdkit aja hilang jadi takut klau mau top up,lainnya,negatif,1
bagus bangettttt sukaaa,lainnya,positif,5
aplikasi bagus mudah masyarakat beli makan maupun antar barang,aplikasi,positif,5
semua driver hampir arogan semua tidak sopan sopan kali order mengahadapi driver arogan gni uninstal aplikasi bye bye grab driver sortir percuma daftar pakai skck tidak laku baik,aplikasi,positif,1
driver baik jelas,driver,positif,5
aplikasi bagus kadang waktu anter jemput tumpang hubung sinyal gps lemah,aplikasi,positif,1
guna buat pribadi kalau mau pergi gang pencil terima kasih g,lainnya,positif,4
mudah satu aplikasi lengkap nyaman aman buat ken pergi atau mageran keluar belanja hehee,keamanan,positif,5
alamat tidak sesuai map selisih jauh sulit jemput antar,lainnya,negatif,2
ramah driver,driver,positif,5
buat promo tuju resto akhir resto tanggung rugi,lainnya,negatif,1
tarif tidak konsisten sering ubah ubah mau pesan hitung detik ubah jelas,harga,negatif,1
ramah memuaskn,lainnya,positif,5
menu buka merchantnya aplikasi menu tetap tidak sedia alias tutup konsumen tidak pilih menu parah,aplikasi,negatif,1
goodm,lainnya,positif,5
mantap pokok,lainnya,positif,5
bagus mudah jalan,lainnya,positif,5
baik aplikasi yah tiap kali mau buka loadingnya lamaaaa banget bahkan kadang keluar sendiri sekarang pesan makan malah gabisa buka aplikasi tadi,aplikasi,positif,1
murah langsung gercep,lainnya,positif,5
datang tepat waktu,lainnya,positif,5
sangat bantu aktivitas hari hari,lainnya,positif,5
layan mantap,layanan,positif,5
apa dah ambil grab dekat pes pilih grab nyata jauh bangett buat telat aja sana tulis menit eh pas tekan jadi nunggu menitt malas amattt buat telat kerja,lainnya,negatif,1
driver tidak niat kerja suka nge cancel order,driver,negatif,1
spam terus tiap menit sama notif promo grabunlimited buat kesel,lainnya,negatif,2
driver tidak niat kerja dikit dikit cancel,driver,negatif,1
driver males kalau hujan,driver,negatif,1
cukup batu,lainnya,positif,5
apk tolol,aplikasi,negatif,1
awal tidak mau komen ngasih review aneh gin sen grab buat mudah kondisi desak masalah promo sebenernya itunkan salah satu untung guna saran filter buat kemudi apabila tidak minat ambil order pakai promo tidak pernah keluh apabila jemput mobil tidak sesuai cantum,lainnya,positif,2
buat ambil antar grabfood kasih waktu biar cepat antar langgan kecewa sama mitra driver grab food suka lama resto kalau kasih waktu biar cepat ambil antar kalau tidak mau buat atur aku viral kan media sosial,driver,negatif,1
entah grab mobil kalau hujan pagi semua bilang lokasi jauh sarap lah,lainnya,positif,4
senang,lainnya,positif,5
kalau tidak driver online nganter makan mending jangan hidupin menu mesan kasi dagang sama sen makan udah buatin makan udah jadi tidak driver ambil parah banget sih aplikasi bayar tunai tidak usah adain kalau emang karna bayar tunai jadi hambat jangan malah gin jadi kacau semua,aplikasi,negatif,1
sekarang susah banget pesan grabfood d malam hari kalau pake tunai selalu d tolak,lainnya,negatif,5
sllu andal grab love grab,lainnya,positif,5
makas mau tanggap keluh baikkk,lainnya,positif,5
makin kesini makin lambat area g sangat lambat buka aplikasi,aplikasi,negatif,1
grab sangat murah orang selalu ramah sopan,lainnya,positif,5
sumpah lama banget aplikasi sekarang lemotttt,aplikasi,negatif,1
praktis cocok buat kaum mageran,lainnya,positif,5
tidak sesuai promo,lainnya,negatif,1
lot,lainnya,positif,4
sekarang semenjak joint sama bluebird jadi lama sekali hampir tengah jam nunggu baik seringkali tem driver ngg ramah sama sekali kyk robot,driver,positif,1
good app harus tambah kolom tip buat bayar pake qris biar kasih tips buat driver,aplikasi,positif,5
ramah s cepat,lainnya,positif,5
sangat muas,lainnya,positif,5
kirim lama banget mentang rumah ujung jarang kurir grab nerima,lainnya,negatif,1
tak muas,lainnya,negatif,1
aplikasi mudah transportasi pesan makan bagai layan lain satu platform praktis mudah guna sangat bantu butuh hari hari,layanan,positif,5
hari kasi jarak jauh aplikasi gedung sejahtera kasi jalur jalan jati rangon jati melati padahal taman mini trs kalau tsm cibubur tidak pilih sepeda motor mobil ojolnya kaga ganti helm buat tumpang helm bau,keamanan,positif,1
supir ramah,driver,positif,5
sama aja kayak gojek mending gojek fitur lebih lengkap banyak promo,lainnya,negatif,1
sangat ramah,lainnya,positif,5
ongkirnya sekarang naik,harga,positif,4
jalan tuju tempat rumah sehat selalu,lainnya,positif,5
sen grab car tidak cancel nunggu jam sopir belum nongol chat centang,lainnya,negatif,1
aplikasi sangat kurang layan kurang respon,layanan,negatif,1
tak order makan,lainnya,negatif,1
driver jaga sikap,driver,negatif,1
driver sering kali tidak amanah,keamanan,positif,1
pesan makan lama banget awal ngasih waktu jam belum dapet driver aja abistu baru aplikasi ngasih pemberitahuan kalau lambat terus minta waktu menit yauda deh dibatalin pindah aplikasi orens harga masuk akal cepet tidak kayak sini,harga,negatif,3
driver bagus servis muas,driver,positif,5
sangat baik terima kasih,lainnya,positif,5
berat banget apl nge lag mulu cek koneksi padahal buka lancar aja,lainnya,negatif,2
ajar dulu,lainnya,positif,5
tidak sen cewe,lainnya,negatif,2
baik layan sinyal titik lokasi terima barang makan sama sinyal kalau tlp pakai internet tidak jelas,layanan,positif,2
buat promo makan driver malah cancel kan customer cuma ken nikmatin promo,driver,netral,3
aku top up x saldo tidak tambah costumer service main akhir chat padahal aku nanya kapan akun ku baik kecewa banget mana aku dah lama banget pake grab,lainnya,positif,1
good appk,aplikasi,positif,5
baru sekali maka kecewa kurir,lainnya,negatif,1
makasih kka,lainnya,positif,5
mudah cepat mesan alhamdulillah selalu driver sgt baik,driver,positif,5
belanja hemat grab banyak promo gratis ongkir pernah bikin bosan,harga,positif,5
aplikasi super app beneran nyelamatin hidup kalau mobilitas tinggi pesan kendara cepat pesan makan praktis banget pas sibuk kerja kejar deadline integrasi bayar mulus cuma jam jam sibuk harga kadang surge lumayan tinggi andal aplikasi tetap wajib hp,harga,positif,5
mud baik,lainnya,positif,5
bagus sangat bantu cuman hargannya udah masuk akal padahal jarak tidak jauh gratis voucher sikit banget padahal selalu langgan hmmm,harga,positif,3
benar fungsi cukup unik iklan sangat menganggu tidak tekan apa malah keluar aplikasi buka iklan jangan terlalu agresif,aplikasi,negatif,2
sangat bantu segala apa,lainnya,positif,5
sama grab mudah mudah lebih baik depa,lainnya,positif,5
wkwkwk topup topup ovo biaya driver langsung naik haha,harga,positif,1
grab layan muas,layanan,positif,5
mudah murah,lainnya,positif,5
grabnya cepat,lainnya,positif,5
bintang lima,lainnya,positif,5
oke gass,lainnya,positif,5
aplikasi andal kalau mau pergi pergi nyari driver cepet banget tidak pake nunggu lama langsung dapet abang driver ramah ramah amanah sama kadang suka sen makan mudah banget,keamanan,positif,5
makin kesini makin tidak ngotak tarif terlalu ambil potong driver,harga,negatif,1
tolong konsumen setia grab aplikasi titik jemput tidak pernah akurat koordinat baik jugaa rute antar biar tidak muter muter ojek online terimakasih,aplikasi,positif,1
suka aplikasi grab sangat bantu butuh hari hari mesan mudah pilih layan lengkap proses cepat aplikasi mudah transportasi pesan makan kirim barang satu aplikasi,layanan,positif,5
best ride hailing service ever,lainnya,positif,5
sangat baik layan castamer,layanan,positif,5
habis update sering nge stuck logo grab,lainnya,positif,4
kali kapok aq kasih rangking sama driver lahir rangking sempurna malah tagih dilebihin konfirmasi pdhl g biaya parkir ay turun jln raya tolong mimin grabb driver nakal macam jangan kasih order,harga,negatif,2
bingit,lainnya,positif,5
aplikasi lumayan banget sangat bantu min harap aplikasi cukup min jangan ubah karna udah sangat banget bantu aplikasi sangat nyaman apk terimakasih,keamanan,positif,5
mohon maaf aplikasi bagus kalau soal grabfood proses terlalu lama bahkan jam lebih sakit perut lapar mohon depan timbang tidak terlalu lama tunggu,aplikasi,positif,1
ntah apa loading kan sinyal internet kuat wifi lancar aja loading ngga jelas,lainnya,negatif,1
gercep,lainnya,positif,5
buruk,lainnya,negatif,1
admin grab pesan car boking stelah jam malah batalin kan azuuu,lainnya,negatif,2
hallo tim grab driver kasih paham lagi masa iya nunggu menit doang bilang jam kalau nggk mau nunggu yaudah cancel aja kan bisaa ngapain banyak ngomong,driver,negatif,2
bpk ramah sekali,lainnya,positif,5
sangat puas banget deh,lainnya,positif,5
good lahhh,lainnya,positif,5
sangat puas layan grab cepat,layanan,positif,5
ramahh bet,lainnya,positif,5
sangat bantu butuh tidak sendiri,lainnya,positif,5
oy min klean gapunya driver sampe lama banget nyari kurir buat ambil pesan,driver,netral,3
aku baru aja download pas mau masang alamat kan nyari kota masalah ko tidak kota bogor jadi aku hapus padahal mau mesen makan,lainnya,negatif,1
coba jangan terlalu rakus uang deh min pesan potong iklan kam sebel bagus sih apk cm iklan buang kemaruk bahaya buat hidup,aplikasi,positif,5
aplikasi biadab potong lebih iblis langsung uninstall tidak manusiawi potong mitra banyak sekali tidak sesuai atur perintah lapor dinas hubung lapor guna non tunai total tagih rb terima driver rb screenshot tagih foto hp driver pres nomor tahun potong customer rasa rugi bayar cukup banyak,aplikasi,negatif,1
aplikasi cukup bantu,aplikasi,positif,5
apa apa mahal serba palak pesan item utama hapus semena mena konfirmasi biaya platform mahal tidak urgensi bayar apa promo banyak syarat ribet pokok pakai grab udah gitu banyak iklan mending aplikasi belah lebih ramah guna,harga,negatif,1
good service,lainnya,positif,5
sekarang masukin no hp eroor apa,lainnya,negatif,1
bgus mobil bersih,lainnya,positif,5
sangat bantu masyarakat indonesia,lainnya,positif,5
baru akhir malah buat aplikasi jadi berat abis milih makan tidak order gara gara loading terus coba buka aplikasi youtube ig lancar aja arti koneksi internet tidak masalah kan,aplikasi,negatif,1
useless app drivers busy in all area,aplikasi,positif,5
sangan bantu ada malaysia cepat driver driver ramah,driver,positif,5
tidak perlu khawatir lg grab nyariin sopir doi delivery makan fav akuuu,lainnya,positif,5
sulit cari driver nunggu lama tidak batalin buang waktu,driver,negatif,1
aplikasi buat mudah pergi kemna mana jam selalu driver bagus top lah,aplikasi,positif,5
tunjuk alamat kurang tepat sulit baik salah alamat cantum,lainnya,positif,4
terimakasih mudah aktivitas,lainnya,positif,5
dong pihak grab cari driver amanah hp kaka tinggal mobil grab pas telpon menit udah tidak aktif aja tuh hp,keamanan,positif,1
amazing aku cinta jalan grab,lainnya,positif,5
promo ngga jelas semua,lainnya,negatif,1
boikot,lainnya,negatif,1
bagus banget mager,lainnya,positif,5
driver rupa minta batalain alas jauh jemput maklumin tiga buat kesal chat tidak respon estimasi menit jadi menit mutar tidak tau ngapain kalau mau kerja jangan kayak gitu lah skors habis habis tuh driver kayak gitu tingkah,layanan,negatif,1
pesan cepat terima,lainnya,positif,5
cukup baik bawah kendara,lainnya,positif,5
tepat waktu bagus ramah,lainnya,positif,5
grab memang mantap,lainnya,positif,5
mantap sangat bantu,lainnya,positif,5
singkat padat bagus buat jalan jalan,lainnya,positif,5
cepat amanah,keamanan,positif,5
betul betul galau,lainnya,positif,5
antara aplikasi ojol si grab notifnya paling ngeselin pagi aja x muncul notif belum siang sore malam apa banget dah ngespam promosi udah kek teror pinjol,aplikasi,negatif,1
aplikasi sangat bantu kurang tau bawa motor sendiri apalgi kota kota besar,aplikasi,positif,5
grab is a versatile app that offers transportation food delivery and digital payment services in one platform the booking process is simple drivers are generally responsive and the app is very practical for daily use,layanan,positif,5
aplikasi nyaa sangat bagus fitur fitur bagus driver nyaa amanah semua,keamanan,positif,5
trimakasih,lainnya,positif,5
aplikasi lot,aplikasi,negatif,1
tegur driver milik mobil nomor polisi dd xau terlalu paksa diri masuk depan kendara posisi sangat dekat,driver,negatif,2
apk tidak jelas massa gps jakarta haha padalan bandar lampung tolol apk,aplikasi,negatif,2
driver sopan enak bawa motor,driver,positif,5
alamat tidak sesuai sama tempat aneh lu,lainnya,negatif,1
enak nyaman,keamanan,positif,5
bagus sangat manfaat,lainnya,positif,5
sempat download karna urgent terus sekarang urgent liat harga layan sepeda motor mahal banget padahal deket banget jadi tidak worth it,layanan,negatif,2
bantuin kepala sekali jadi mitra driver grab kota malang tidak buka daftar aplikasi terima driver baru pribadi,aplikasi,positif,3
lumayan perlu baik lebih lanjut,lainnya,positif,5
baik ramah,lainnya,positif,5
sangat bantu keluh pas grimis promo sangat susah cari driver sering kalau misal bayar pake uang rb ribu driver selalu alas tidak punya kembali,driver,negatif,1
unduh nih apk cuman buat kasih bintang officer bagi bales bales ulas playstore saran mending siap siap cari job dah,aplikasi,negatif,1
opsi batal kurang bagus,lainnya,negatif,1
tepat waktu tepat waktu estimasi dimundurin mulu mundurin aja sampe jam pagi sekali,lainnya,netral,3
pesan kali mobil tidak gerak lokasi tetap sama padahal mau ngantar orang sakit buat kecewa kasih bintang padahal butuh sekali keluarga pasien mintak cariin tidak sanak saudara dong kalau sen respon,layanan,negatif,1
aplikasi sangat praktis transportasi sen makan layan cepat gampang dipake banyak promo tarik,layanan,positif,5
ongkos mahal tambah drvier sombonng sering laku leceh pokok driver driver orang aja baik tak payah pakai grab,driver,negatif,1
gajelas banyak bug,lainnya,negatif,1
sangat bantu lapar tengah malam,lainnya,positif,5
bagus bantu,lainnya,positif,5
percaya,lainnya,positif,5
kalau malam susah buka app,aplikasi,negatif,2
ribet transaksi tunai,lainnya,negatif,2
sigap tepat cepat selalu hati hati kendara,lainnya,positif,5
pesan obat harga kira lebih tinggi nyata pas liat distruk bayar obat harga lebih rendah bayar lewat potong harga kira gimn bayar lewat ovo,harga,negatif,2
alhamdulillah tuju grab baik ramah,lainnya,positif,5
sangat sangat bantu mau prjalanan pesan makan,lainnya,positif,5
terima kasih banyak kak moga sehat slalu rezeki tambah banyak,lainnya,positif,5
puasss,lainnya,positif,5
apas tbtb akun gue logout,lainnya,negatif,1
tidak telpon tidak terima tlp grab pesan,lainnya,negatif,1
peta benerin dong kok tidak akurat gitu,lainnya,negatif,1
ramah amanah terimakasih,keamanan,positif,5
ramah mantap,lainnya,positif,5
all is good,lainnya,positif,5
buruk tambah maless sen makan lewat grapfood biaya mitra resto tambah biaya platform,harga,negatif,1
pesan lengkap tepat waktu,lainnya,positif,5
hilangin aja fitur bayar cash kalau paksa cahsless,lainnya,negatif,1
sangat baik respon cepat,layanan,positif,5
dong baru lot bngt apk,aplikasi,negatif,2
alhamdulillah lebih cepat waktu prediksi suka enak cuma koreksi sedikit kalau lidah kurang manis,lainnya,positif,5
mkasih mas,lainnya,positif,5
bakso jadi gila gila,lainnya,negatif,1
mantap vncs,layanan,positif,5
bagusss bgttt aplikasi lacak,aplikasi,positif,5
teman setia males macet males masak,lainnya,positif,5
oke punya banyak promo,lainnya,positif,5
awal baik baik eeh akhir aplikasi pakai pesan grab bike grab car pesan grab food tidak yaaaa,aplikasi,positif,3
trimakasih nyaman aman,keamanan,positif,5
trimkasih antar dg selamat,lainnya,positif,5
ojol aneh dibatalin mulu,lainnya,negatif,1
kak kali buat update devices account dong soal tiap log in akun langsung keluar hp satu thank you,lainnya,netral,3
pesan makan harga harga tidak masuk akal biaya ongkir tambah layan per order kalau pakai voucher grabunlimited biaya ongkir makin naik padahal sama gaji kemudi tidak berapa beri ongkos antar tidak sesuai tambah biaya layan besar sekali rb udah cukup kalau beli rasa senang order tambah makin tambah voucher sendiri ada jarak lebih km ongkir naik tidak masuk akal,layanan,negatif,1
aplikasi burik makin hari makin susah cari kemudi grab ngga deket tidak jauh selalu dibatalin gatau,aplikasi,negatif,1
ribet pakai kontak darurat apk ojek apa kepo privasi orang apk ojek apa pinjol ribet,aplikasi,negatif,1
bener bae buat buat apliaksi jangan samo suara notif nada panggil beranda pangilan kok grab makin lama makin bobrok aja,lainnya,negatif,1
sedia fitur bayar qris awal jalan repot kalau ngasih pesan terima,lainnya,netral,3
driver,driver,positif,5
bantu lapang kerja indonesia,lainnya,positif,5
sopir ramah,lainnya,positif,5
kecewa dg ongkos tera nominal tera pd mau booking dg booking nyata alami selisih lumayan banyak pdhal biasa biaya booking tidak banyak hari benar bukan masalah jumlah nominal driver td kembali kembali tf gitu datang e lama mohon koreksi,harga,negatif,2
pertama kali melaui hp sendiri sb sedikit ribet,lainnya,positif,5
sukaaa sekaliii,lainnya,positif,5
apk grab lama lama ngeselin msh mending indrive maxim skrg lbh cepat lebih ekonomis selamat tinggal grab tidak mao gw kecewain ama lu,aplikasi,negatif,1
grab food bener kecewa segala ad biaya tambah prioritas sekian mnit rb kalau menit bayar rb kalau menit bayar rb gila gw cuma beli nasgor rb tambah biaya adm tambah biaya ongkir gw jamin gw doain grab food bangkrut,harga,negatif,1
mudah nyaman antar hingga sampe tuju,keamanan,positif,5
pasti semua bonus hari raya buat langgan,lainnya,positif,5
bagus siiii,lainnya,positif,5
layan abang ojol sangat ramah tamah baik hati terima kasih banyak,layanan,positif,5
tidak beri pasti udah nunggu lama sen makan driver tidak tidak cancel jadi tidak ad pasti tunggu,driver,negatif,1
nasi goreng enak porsi sangat kenyang,lainnya,positif,5
akhir aplikasi kok susah buka,aplikasi,negatif,5
mksih,lainnya,positif,5
aplikasi sangat bagus percaya,aplikasi,positif,5
aplikasi paling pool,aplikasi,positif,5
driver grab malas jemput kalau jauh dikit jauh beda sama maxim,driver,negatif,1
bpnya mau bantu belum paham memang manula,lainnya,positif,5
jelek banget susah makek,lainnya,negatif,1
bagus banget aplikasi cocok banget cari makan,aplikasi,positif,5
terimakasih greb buat pas semangkin mudah,lainnya,positif,5
tidak suka tidak mau ngambil order kampung,lainnya,negatif,1
aplikasi grab jadi lot bnget,aplikasi,netral,3
anti ribet,lainnya,positif,5
gampang kondisi desak,lainnya,positif,5
ngak hapus riwayat batal pesan,lainnya,negatif,1
grab krend idola banget,lainnya,positif,5
siiip,lainnya,positif,5
terimakasih mas grab,lainnya,positif,5
banyak oknum ojek nakal akal akal minta parkir patokin berapa berapa pdhal beberapa tempat resto sedia free parkir driver ojek,driver,negatif,1
wonderfull,lainnya,positif,5
driver ramah sopan sangat muas buat,driver,positif,5
luar biasa sangat puas,lainnya,positif,5
mau daftar aja ribet bnget proses,lainnya,negatif,1
terima kasih tangan complan cepat tuntas,lainnya,positif,5
mantapp bangett cepett,aplikasi,positif,5
terimakasih beri solusi selesai lapor kena bayar grab food,lainnya,positif,5
aplikasi buruk banget kuota banyak loh aplikasi keluar mulu mau masuk loading terus keluar hadehhh baik dong,aplikasi,negatif,1
sngt baik,lainnya,positif,5
driver amanah fast respon,keamanan,positif,5
allahuakbar julid banget,lainnya,negatif,1
yok,lainnya,positif,5
mudah dapat mobil,lainnya,positif,5
aplikasi sangat bantu waktu emergency,aplikasi,positif,4
layan bagus oranya ramah,layanan,positif,5
selamat tuju,lainnya,positif,5
okeeeeee,lainnya,positif,4
brlngganan tpi tak smuanya gratis ongkir diskon kdg hnya pjangan sja tpi tak digunain wktu antar lbih lama prjanjian pesan psan mkaan lain resto ttup tpi trtulis msih bukandan ktika psan lalu tunggu lama tiba pmbatalan krna restonya ttup tak ush didownload dipke apk gaje ngeselin,harga,negatif,1
jemput cepet aa driver ramah sabar alhamdulillah puas,driver,positif,5
bagus sekali,lainnya,positif,5
ramahh baik,lainnya,positif,5
app manfaat sekali terima kasih,aplikasi,positif,4
tidak jelas grabfood jelek banget order makan terang buka nyata nyampe sana toko tutup driver bingung tidak mau cancel akun costumer gaada opsi batal akhir mau tidak mau tetep bayar buat nyelesain pesan makan gaada jelekk bangetttt app mana gaada solusiii dapat bantu kaya gua uninstall aja deh,aplikasi,negatif,1
