text,score
"TOLONG BUAT PENGAMBILAN DAN PENGANTARAN GRABFOOD KASIH WAKTU BIAR CEPAT DI ANTAR KE PELANGGAN, SAYA KECEWA SAMA MITRA DRIVER GRAB FOOD SUKA LAMA DI RESTO KALO BISA KASIH WAKTU BIAR CEPAT DI AMBIL DAN DI ANTAR KALO GAK MAU BIKIN ATURAN SEPERTI ITU AKU VIRAL KAN DI MEDIA SOSIAL",1
"entah kenapa grab mobil kalo hujan dan pagi2 semua bilang lokasi jauh, lagi sarapan lah, lagi ini lagi itu.",4
saya senang,5
kalo gak ada driver yang online untuk nganter makanan mending jangan hidupin menu pemesanan. kasian pedagang sama pesen makanan. udah buatin makanan udah jadi tapi gak driver yg ambil. parah banget sih ini aplikasi. pembayaran tunai gak usah di adain kalo emang karna pembayaran tunai yg jadi hambatan. jangan malah gini jadi kacau semua,1
sekarang susah banget pesan grabfood d malam hari kalau pake tunai..selalu d tolak,5
sllu bisa di andalkan grab love grab,5
👍,5
good,5
makasi sudah mau menanggapi keluhan dengan baikkk🖤🖤,5
makin kesini makin lambat. di area 5G pun sangat lambat untuk buka aplikasi,1
grab sangat murah dan orang nya selalu ramah dan sopan,5
sumpah lama banget aplikasi sekarang lemotttt,1
"praktis, cocok buat kaum mageran",5
gak sesuai dengan promo,1
lemot,4
"kenapa sekarang semenjak joint sama Bluebird jadi lama sekali, hampir setengah jam saya nunggu, tolong diperbaiki. Dan seringkali kutemi driver nya ngg ramah sama sekali kyk robot 😔😔😔",1
Good app. tapi harusnya tambahkan kolom tip buat bayar pake qris. biar bisa kasih tips buat driver.,5
ramah dan s cepat,5
sangat memuaskan,5
"pengiriman lama bgt, mentang karena rumah diujung jarang kurir grab yg nerima.",1
tak memuaskan,1
bagus banget,5
"Aplikasi yang memudahkan transportasi, pesan makanan, dan berbagai layanan lainnya dalam satu platform. Praktis, mudah digunakan, dan sangat membantu untuk kebutuhan sehari-hari.",5
mantap,5
"hari ini dikasii jarak yg jauh dari aplikasi, dari gedung sejahtera dikasii jalur jalan yg ke jati rangon, jati melati padahal bisa dari taman mini.. trs klo dari tsm cibubur tidak ada pilihan sepeda motor, harus mobil... ojolnya kaga ganti helm buat penumpang, helm bau...",1
tepat waktu,5
good,5
bagus,5
supir ramah,5
"sama aja kayak gojek, mending gojek, fitur lebih lengkap banyak promo juga",1
sangat ramah,5
ongkirnya sekarang naik,4
terimakasih🙏🙏🙏,5
sangat membantu,5
😘,5
ok perjalanan menuju tempat rumah sehat selalu,5
ramah sopan,4
"pesen grab car gak bisa di cancel sudah nunggu 1 jam, sopir belum nongol ,di chat centang 1",1
ok,5
Aplikasinya sangat kurang dalam pelayanannya. Kurang Respon😡,1
👍🏻,5
"Tak dapat order makanan,",1
drivernya tolong di jaga sikapnya,1
baik,5
baik,3
drivernya sering kali tidak amanah,1
"pesan makanan lama bgt. awal ngasih waktu sejam, belum dapet driver aja. abistu baru aplikasi ngasih pemberitahuan kalo terlambat, terus minta waktu lagi 40 menit. yauda deh dibatalin. pindah ke aplikasi ORENS, harga masuk akal, cepet pula ga kayak di sini",3
driver bagus.. servis memuaskan,5
bagus,5
sangat baik terima kasih 🙏,5
ramah,5
sangat membantu,5
"berat bgt apl nya, nge lag mulu, cek koneksi padahal buka yg lain lancar2 aja",2
pelajari dulu,5
ga bisa pesen cewe,2
sangat bagus,5
bagus,5
"diperbaiki lagi untuk pelayanan sinyal dan titik lokasi penerima barang/makanan nya ya , sama sinyal kalo tlp pakai internet gak jelas",2
mantap,5
kenapa bikin promo makanan tp driver malah cancel . kita kan customer cuma pengen nikmatin promo nya,3
aku top up 2x tapi saldoku gak bertambah... costumer service nya main akhiri chat begitu saja... padahal aku nanya kapan akun ku bisa baik lagi... kecewa banget mana aku dah lama banget pake grab...,1
good appk,5
baru sekali makai tapi sdh kecewa dengan kurirnya,1
makasih kka.,5
mantap,5
mudah dan cepat dalam pemesanan dan juga Alhamdulillah selalu dapat driver yg sgt baik,5
"belanja hemat hanya di grab, banyak promo dan gratis ongkir. nggak pernah dibikin bosan",5
"Aplikasi super app yang beneran nyelamatin hidup kalau mobilitas lagi tinggi. Pesan kendaraan cepat, pesan makan juga praktis banget pas lagi sibuk kerja atau kejar deadline. Integrasi pembayarannya mulus. Cuma di jam-jam sibuk harganya kadang surge lumayan tinggi, tapi karena keandalannya, aplikasi ini tetap wajib ada di HP",5
baik,5
good,5
pengemudinya baik,5
baik,5
"bagus sangat membantu, cuman hargannya kenapa udah nggak masuk akal, padahal jaraknya gk jauh, dan gratisan voucher sikit banget padahal selalu langganan,, hmmm 😣😌",3
sebenarnya untuk fungsi cukup unik tapi iklannya sangat menganggu. karena saya tidak menekan apapun juga malah keluar dari aplikasi yg saya buka. tolong iklannya jangan terlalu agresif,2
sangat membantu segala apa pun,5
bersama grab mudah mudahan lebih baik untuk kedepanya,5
wkwkwk sebelum topup dan setelah topup ovo biaya driver langsung naik haha,1
grab pelayanannya memuaskan,5
mudah dan murah,5
sangat membantu,5
sangat ramah,5
grabnya cepat,5
Bintang Lima....,5
sangat membantu,5
sangat membantu,5
oke gass,5
"Aplikasi andalan kalau mau pergi-pergi. Nyari drivernya cepet banget, gak pake nunggu lama langsung dapet. Abang drivernya juga ramah-ramah dan amanah. sama kadang suka pesen makanan juga, mudah banget.",5
good,5
semakin kesini semakin ga ngotak tarifnya. keterlaluan ambil potongan ke driver.,1
"tolonglah sebagai konsumen setia grab aplikasi titik penjemputan ga pernah akurat koordinat nya, di perbaiki jugaa ketika rute pengantarannya biar ga muter muter juga ojek online nya , terimakasih",1
"Saya menyukai aplikasi Grab karena sangat membantu dalam kebutuhan sehari-hari. Pemesanannya mudah, pilihan layanannya lengkap, dan prosesnya cepat. Selain itu, aplikasi ini memudahkan saya untuk transportasi, pesan makanan, dan pengiriman barang dalam satu aplikasi.",5
Best ride-hailing service ever,5
the best👍,5
sangat bagus,5
sangat baik untuk melayani castamer,5
habis di update sering nge stuck di logo grab,4
"lain kali kapok aq kasih rangking sama driver, dilahirkan rangking sempurna malah tagihan dilebihin tanpa konfirmasi, pdhl g ada biaya parkir, ay diturunkan di jln raya! , tolonglah mimin grabb, driver2 nakal macam itu jgn dikasih. orderan",2
ok bingit,5
top,5
bagus,5
"aplikasi Lumayan Banget... Sangat Membantu,😇 Min🙏🥰 kami Harap Aplikasi ini Cukup Seperti ini min jangan Ada Perubahan, karna Seperti ini, Udah Sangat Banget Membantu aplikasinya🥰 kami Sangat Nyaman dgn Apk ini, Terimakasih🙏😇🥰",5
"mohon maaf aplikasi ini bagus, namun kalau soal grabfood prosesnya terlalu lama bahkan sampai 1 jam lebih sampai sakit perut kelaparan, mohon untuk kedepannya bisa dipertimbangkan supaya tidak terlalu lama menunggu",1
"ntah apa yang di loading kan, sinyal internet kuat dan wifi lancar, masih aja loading ngga jelas",1
gercep,5
buruk,1
untuk admin grab. saya pesan car boking. stelah sampai di jamnya malah di batalin. kan azuuu,2
hallo tim grab tolong driver nya di kasih paham lagii masa iya nunggu 5menit doang bilangnya sejam klo nggk mau nunggu yaudah cancel aja kan bisaa ngapain harus banyak ngomong,2
BPK nya ramah sekali,5
mantap,5
sangat puas bgt deh,5
good lahhh,5
sangat memuaskan,5
sangat puas dengan layanan grab cepat sampai,5
ramahh bet,5
layanan mantap,5
mantap,5
sangat membantu kebutuhan yang gak bisa sendiri,5
terbaik,5
oy min klean gapunya driver kah sampe lama banget nyari kurir buat ambil pesanan?,3
ramah,1
mantap,5
mantaf,5
aku baru aja download pas mau masang alamat kan nyari kota masalah nya ko ga ada kota bogor jadi nya aku hapus lagi padahal mau mesen makanan,1
coba jangan terlalu rakus dengan uang deh min...lagi pesan dipotong iklan..kam sebel..!!!😝😝😝 bagus sih apk nya cm iklannya dibuanglah..kemaruk berbahaya buat kehidupan,5
"aplikasi biadab, potongan melebihi iblis. langsung saya uninstall karena tidak manusiawi potongan ke mitra banyak sekali, 48% tidak sesuai dengan aturan pemerintah. bisa saya laporkan ke dinas perhubungan atau kemana ya saya harus melapor? saya menggunakan non tunai total tagihan 199rb namun yg diterima driver 84rb. saya ada screenshot nya tagihan saya dan foto di hp driver. perpres Nomor 27 Tahun 2026 potongan hanya 8%. saya sebagai customer merasa dirugikan karena membayar cukup banyak.",1
aplikasi ini cukup membantu,5
"Apa-apa mahal, serba dipalak. Pesan item utama dihapus semena-mena tanpa konfirmasi. Biaya platform mahal, gak ada urgensinya bayar ini itu untuk apa. Promo juga kebanyakan syarat, ribet pokoknya pakai Grab, udah gitu kebanyakan iklan pula. Mending aplikasi sebelah saja lebih ramah pengguna.",1
good service,5
sekarang masukin no hp pun eroor apalah ini,1
"bgus,mobil bersih",5
👍,5
sangat membantu masyarakat Indonesia,5
"Pembaruan terakhir malah bikin aplikasinya jadi berat. abis milih makanan ga bisa order gara gara loading terus. coba buka aplikasi lain seperti youtube, ig, dll. lancar aja, berarti koneksi internet ga ada masalah kan.",1
useless app..drivers busy in all area,5
mantap,5
Sangan membantu saya saat saya berada di malaysia. Cepat dapat driver. drivernya juga ramah,5
sangat membantu,5
"gak perlu khawatir lg krn grab selain bisa nyariin sopir, doi jg bisa delivery makanan fav akuuu😍",5
"sulit cari driver, nunggu lama, gak bisa di batalin! buang waktu!",1
"aplikasi yang membuat kita mudah berpergian kemna mana dan setiap jam selalu ada driver , bagus top lah",5
penunjukan alamat yang kurang tepat.. dan kami kesulitan untuk memperbaiki kesalahan alamat yang tercantum..,4
Terimakasih sudah memudahkan aktivitas kami,5
tolong dong pihak grab cari driver nya yang amanah...hp kaka saya tertinggal di mobil grab pas di telpon sekitar 30 menitan udah gak aktif aja tuh hp,1
puas,5
Amazing. aku mencintai perjalanan dengan grab,5
promo ngga jelas semua,1
boikot,1
"bagus banget, bagi yang mager",5
"dua Driver Merupakan minta batalain alasan nya kejauhan jemput, Masih Bisa Di Maklumin. tapi yg ketiga buat kesal, Di Chat Gak Respon, Estimasi Dari 12 Menit jadi 27 Menit, Mutar"" Gak Tau Ngapain. kalau masih mau Kerja Jangan Kayak Gitu Lah. di Skors Habis Habisan Tuh Driver Yg Kayak Gitu Tingkah Nya",1
pesanan cepat diterima,5
bagus,5
cukup baik bawah kendaraannya,5
tepat waktu dan bagus .ramah,5
grab memang mantap,5
mantap sangat membantu,5
"singkat ,padat bagus buat jalan jalan",5
cepat dan amanah,5
driver ramah.,5
ok,5
betul betul galau,5
"Diantara aplikasi ojol lain, si grab ini notifnya paling ngeselin, pagi aja bisa 3x muncul notif, belum siang sore malam, apaan banget dah ngespam promosi udah kek teror pinjol!",1
"Aplikasi ini sangat membantu bagi saya yg kurang tau bawa motor sendiri, apalgi di kota kota besar👍🏻👍🏻👍🏻👍🏻👍🏻",5
"Grab is a versatile app that offers transportation, food delivery, and digital payment services in one platform. The booking process is simple, drivers are generally responsive, and the app is very practical for daily use.",5
aplikasi nyaa sangat bagus fitur fitur nya bagus dan driver nyaa amanah semua,5
trimakasih,5
aplikasi terlemot,1
Tolong tegur drivernya pemilik mobil dengan nomor polisi DD 1572 XAU terlalu memaksakan diri masuk depan kendaraan lain sementara posisi sangat dekat..,2
jelek,1
apk gak jelas massa gps nya di jakarta haha padalan di bandar lampung tolol apk nya,2
Pelayanan Mantap,5
driver sopan dan enak bawa motornya. 🙏👍,5
keren,5
"alamat ga sesuai sama tempat, aneh lu",1
mantap,5
enak nyaman,5
bagus dan sangat bermanfaat,5
nice,5
sempat download karna urgent terus sekarang lagi urgent juga tapi liat harga layanan sepeda motor mahal banget padahal deket banget jadi gak worth it,2
"tolong bantuin kepala saya, saya ingin sekali menjadi mitra driver grab tapi di kota malang tidak di buka pendaftaran lagi di aplikasi tapi menerima driver baru secara pribadi 🙏",3
"Lumayan, perlu perbaikan lebih lanjut.",5
membantu,4
baik dan ramah,5
sangat membantu tapi keluhan saya pas lagi grimis / promo sangat susah cari driver dan keseringan klo misalnya kita bayar pake uang 100 rb / 50 ribu driver selalu beralasan gk punya kembalian 😁,1
unduh nih apk cuman buat kasih bintang 1 🗿 kepada officer bagian bales-bales ulasan Playstore saran saya mending siap-siap cari job lain dah 😹,1
opsi pembatalan yang kurang bagus,1
"tepat waktu tepat waktu tapi estimasinya dimundurin mulu, mundurin aja sampe jam 5 pagi sekalian",3
"pesan 4 kali mobil tidak gerak"" , lokasi tetap sama padahal mau ngantar orang sakit, bikin kecewa kasih bintang 1,padahal lagi di butuhkan sekali karena keluarga pasien mintak cariin karena tidak ada sanak saudara, tolong dong kalau pesen di respon",1
"Aplikasi ini sangat praktis untuk transportasi dan pesen makanan. Layanan cepat, gampang dipake, dan banyak promo yang menarik",5
"ongkos mahal, ditambah drvier nya sombonng dan sering melakukan pelecehan. pokoknya driver dari 1000 driver 10 orang aja yang baik tak payah pakai grab",1
gajelas banyak bug,1
"sangat terbantu, untuk lapar tengah malam",5
ok,5
bagus membantu,5
👍👍👍,5
terpercaya,5
klo malam susah dibuka app nya,2
👍👍👍 keren,5
ribet transaksi nya harus tunai dll,2
sangat membantu,5
ok,5
"sigap tepat dan cepat,, selalu hati hati berkendaraan",5
baik. dan cepat,5
tolong kenapa saya pesan obat dengan harga perkiraan lebih tinggi ternyata pas saya liat distruk pembayaran obatnya harganya lebih rendah..tapi saya bayar lewat dia potongnya dengan harga perkiraan..itu gimn ya dan saya bayarnya lewat ovo,2
Alhamdulillah saya sudah sampai tujuan dan grab baik dan ramah,5
sangat sangat membantu mau prjalanan atau pesan makanan,5
"Terima kasih Banyak Kak, Semoga Sehat Slalu dan Rezeki nya bertambah banyak 🙏",5
puasss,5
apasi tbtb akun gue ke logout,1
tdk bisa telpon dan tdk bisa terima tlp dari grab yg di pesan,1
good,5
bagus,5
petanya benerin dong. kok ga akurat gitu.,1
bagus banget,5
Ramah dan amanah.terimakasih.,5
ramah dan mantap,5
all is good 👌👌👌👌,5
baik,5
"buruk. tambah maless pesen makan lewat grapfood, udh ada biaya mitra& resto ditambah biaya platform.",1
pesanan lengkap dan tepat waktu,5
mantap,5
hilangin aja fitur bayar Cash kalo kita dipaksa cahsless.,1
sangat baik respon jg cepat,5
tolong dong perbarui lagi lemot bngt apk nya,2
bagus,5
"Alhamdulillah sudah sampai lebih cepat dari waktu yang diprediksi suka,enak cuma koreksi sedikit kalo dilidah saya agak kurang manis",5
bagus,5
mkasih mas,5
Bakso 10000 jadi 29000 gila gila,1
bgus,5
👍🏻👍🏻👍🏻👍🏻,5
mantap vncs,5
sangat puas,5
bagusss bgttt aplikasinya bisa di lacak lagi,5
Pelayanan mantap,4
teman setia ketika males macet dan males masak,5
oke punya banyak promo nya,5
"Awalnya baik' baik saja... eeh akhir2 ini aplikasi hanya bisa dipakai pesan grab bike atau grab car, sedangkan untuk pesan grab food tidak bisa ... kenapa yaaaa",3
trimakasih kami nyaman aman,5
trimkasih sudah diantarkan dg selamat🙏,5
ojol aneh dibatalin Mulu,1
layanan baik,5
bagus!,4
"kak, lain kali bikin update bisa 2 devices 1 account dong, soalnya tiap log in ke akun yang lain langsung terkeluar di hp satunya, thank you🙏",3
"Pesan makanan harga harga gak masuk diakal dan biaya ongkir dan tambahan layanan untuk per orderan kalau pakai voucher dari grabunlimited biaya ongkir makin naik padahal sama gaji pengemudi gk seberapa diberikan ongkos kepada pengantar yang tidak sesuai ditambah ada biaya layanan besar sekali 2-3rb udah cukup kalau setiap pembeli merasa senang orderan akan bertambah dan makin bertambah, voucher anda sendiri yang mengadakan tetapi setiap jarak lebih 12km ongkir naik gk masuk akal!!!!!!!!!!!!!!",1
keren,5
bagus.sangat membantu,5
"Aplikasi burik , semakin hari semakin susah cari pengemudi grab . Ngga Deket ga jauh selalu dibatalin gatau kenapa .",1
ribet amat pakai kontak darurat ini apk ojek apa kepo privasi orang ini APK OJEK APA PINJOL RIBET,1
mantap...,5
YANG BENER BAE BUAT BUAT APLIAKSI JANGAN SAMO SUARA NOTIF DENGAN NADA PANGGILAN KAMI BERANDAI ADA PANGILAN KOK GRAB MAKIN LAMA MAKIN BOBROK AJA YA,1
ok,5
terbaik,5
tolong sediakan fitur pembayaran qris di awal perjalanan agak repot kalo ngasih pesanan ke penerima.,3
ok,5
mantap,5
makasih 🙏,4
sangat bagus,5
drivernya 👍👍,5
keren,4
membantu lapangan pekerjaan di Indonesia,5
sopirnya ramah,5
"saya agak kecewa dg ongkos yg tertera, nominal yg tertera PD saat mau booking, dg setelah di booking ternyata mengalami selisih lumayan banyak, pdhal biasanya biaya booking TDK sebanyak hari ini... sebenarnya bukan masalah jumlah nominalnya, tp driver td mengembalikan kembalian tf dr saya... SDH gitu datang e lama lagi...mohon koreksi lagi🤦🏻‍♀️🤦🏻‍♀️😇😇😇😇",2
"ini pertama kali melaui hp sendiri, sb sedikit ribet",5
sangat baik,5
sukaaa sekaliii,5
ok,5
mantap,5
bagus,1
"apk grab lama lama ngeselin. msh mending indrive dan maxim. mereka skrg lbh cepat dan lebih ekonomis, selamat tinggal grab!!!! gk mao lagi gw di kecewain ama lu.",1
ok,5
grab food bener2 mengecewakan. segala ad biaya tambahan prioritas sekian 30mnit 50rb kalau 47 menit bayar 42 rb kalau 59 menit bayar 35 rb GILA GW CUMA BELI NASGOR 18 RB tambah lagi ada biaya Adm tambah lagi ada biaya ongkir.... gw jamin dan gw doain grab food nya bangkrut,1
sangat puas,5
mudah nyaman di antar hingga sampe tujuan,5
pastikan semua ada bonus hari raya buat pelanggan,5
mantap,5
bagus siiii🙄🫵🫶,5
mantap,5
pelayanan Abang ojol nya sangat ramah tamah dan baik hati terima kasih banyak ya,5
"tolong tidak memberikan kepastian udah nunggu lama pesen makan driver tidak dapat dapat, tidak bisa cancel jadinya tidak bisa ad kepastian harus menunggu",1
sangat puas,5
👍👍👍👍👍,5
"nasi gorengnya enak, porsinya sangat mengenyangkan",5
Ok. akhir² ini aplikasinya kok susah di buka ya..?,5
mksih,5
aplikasi yang sangat bagus dan terpercaya,5
aplikasi paling pool,5
sangat Bagus,5
"driver grab pemalas jemput klo jauh dikit, jauh beda sama maxim",1
nyaman,5
bpnya mau bantu saya yg belum begitu paham karena memang manula,5
jelek banget susah makek nya,1
good job 👍,5
bagus banget aplikasi nya cocok banget untuk cari makan,5
Terimakasih greb telah membuat pasan semangkin mudah,5
pelayanan baik,5
sangat nyaman,5
drivernya ramah,5
gak suka karena pada gak mau ngambil orderan di perkampungan,1
kenapa aplikasi grab jadi lemot bnget,3
sangat baik 👍,5
anti ribet,5
gampang saat kondisi mendesak,5
ngak bisa di hapus riwayat batal atau pesan,1
GRAB KREND IDOLA BGT,5
siiip,5
cepat,5
terimakasih mas Grab,5
masih banyak oknum ojek yg nakal. akal akalan minta parkir dan di patokin berapa berapanya. pdhal ada beberapa tempat atau resto menyediakan free parkir untuk driver ojek.,1
nice,5
Wonderfull,5
"driver nya ramah dan sopan, sangat memuaskan buat sy",5
luar biasa sangat puas,5
membantu...,5
mau daftar aja ribet bnget prosesnya,1
terima kasih krn menangani complan sy dgn cepat..dan tuntas.,5
mantapp bangett cepett,5
Terimakasih sudah memberikan solusi dan penyelesaian untuk laporan saya mengenai pembayaran grab food saya,5
"aplikasi buruk banget... kuota banyak ini loh ,, tp aplikasi keluar Mulu.. mau masuk loading terus keluar lagi..hadehhh.. perbaiki dong",1
sngt baik,5
driver amanah. fast respon,5
"bagus ,",5
oke,5
allahuakbar julid bgt,1
yok yg bisa,5
bagus,5
baik,5
mudah didapat mobilnya,5
aplikasi sangat membantu waktu emergency,4
pelayanan bagus oranya ramah,5
selamat sampai tujuan,5
terbaik,5
okeeeeee,4
"* Sdh brlngganan, tpi tak smuanya gratis ongkir/ada diskonnya. kdg hnya pjangan sja. tpi tak bisa digunain. * Wktu pengantaran lbih lama dari prjanjian/pesan (psan mkaan/lainnya). * Resto ttup tpi trtulis msih bukandan ktika sdh psan, lalu ditunggu lama tiba² ada pmbatalan krna restonya sdh ttup. ✓ TAK USH DIDOWNLOAD/DIPKE APK INI, Gaje dan ngeselin",1
"penjemputan cepet, AA drivernya ramah dan sabar.. Alhamdulillah puas..",5
bagus sekali,5
mantap,5
ramahh baik,5
app yg bermanfaat sekali terima kasih,4
"gak jelas grabfood jelek banget, order makanan yang keterangannya masih buka, ternyata nyampe sana tokonya tutup, drivernya bingung dan gak mau cancel, sementara diakun costumer juga gaada opsi batalkan, akhirnya mau gak mau harus tetep bayar buat nyelesain pesanan tapi makanannya gaada. jelekk bangetttt app ini mana gaada solusiii dari ""dapatkan bantuan"" kayanya gua uninstall aja deh",1
supir nya ramah baik dan cepat,5
Mantul,5
pengantaran bagus,5
Aplikasi untuk memesan ojek yang sangat membantu. Pemotor yang terkadang masih berkendara sesukanya. Namun grab selalu berempati ketika di jalan dan juga untuk pengemudinya.,5
"haloo grab, maaf aku kasi ranking 1 yaa, #sellsingapore",1
nyari titik aja susah banget ga kaya gojek langsung muncul,1
ganguan sinyal,3
thank you todayyyyyy 🌚🌚🌚🙏🏻🙏🏻🙏🏻🙏🏻,5
sangat membantu,5
"Parah sih nih grab UXnya ancam gitu ""kalo lu jarang batal, bakal dapat driver lebih dekat"" menurutku ini kurang enak banget",2
good experience to buy some foods,5
Minta update disaat genting,2
"banyak iklan, malas",1
"MAU REQUEST SEDIAIN GRAB DI DIENG, BIAR APA"" MUDAAH, PLIISSS😞",5
baik,5
senang sangat membantu,5
"saya puas dgn pelayanan grab dan pengemudinya dalam merespon pesanan gojek nya atau apapun itu...pesan dr saya, selalu jaga kenyamanan penumpang atau lebih di tingkatkan lagi dan pertahankan..makasih buat seluruh kru atau pengemudi..SUKSES SELALU",5
dunia nyata telah berakhir... sekarang tinggal mimpi manis,5
"Grab is an excellent app that provides convenient transportation, food delivery, and other daily services in one platform. The app is easy to use, the drivers are generally professional, and the service is reliable. It has made everyday activities much more convenient and efficient.",5
Sangat puas,5
sip mantap tau jalan,5
sangat membantu,4
pesanan terlalu lama,1
aplikasi nya error,1
"The ultimate super-app. Booking a ride is quick, and the food delivery service is always reliable. Seamless cashless payments with GrabPay too!"" ⭐⭐⭐⭐⭐",5
"Setelah di update kok jadi gak bisa buat isi pulsa dr grab, pembayaran lewat ovo ,pdhl sblm sblm nya bisa² aja... Ini malah jadi gak bisa...hadeuhhh",5
"2x pesan makanan dibatalkan sama merchat, ada masalah apa ? saya ngga pernah bermasalah padahal terus apa kompensasi yang saya dapet ?",1
"Grab itu aplikasi yang sangat membantu untuk kebutuhan sehari-hari. Mau pesan ojek, mobil, atau makanan semuanya gampang banget lewat satu aplikasi. Aku juga suka karena prosesnya cepat dan biasanya driver-nya juga responsif. Harganya juga bisa dipilih sesuai kebutuhan, kadang ada promo juga jadi lebih hemat. Pokoknya Grab itu praktis dan sangat berguna.",5
ok,5
"SAYA PINDAH APLIKASI, KARENA GRAB OJOLNYA MILIH"" ORDER, 3X NUNGGU LAMA DI TOLAK TERUS, UNTUK DAERAH PONDOK RANJI TANGERANG",1
ok,5
best,5
👍👍👍,5
"lebih amanin lagi dong drivernya. biaya yg benernya 10rb, tiba² driver nambahin biaya lain² 10rb. jadi 20rb. padahal posisinya ga masuk tol, ga bayar parkir sama sekali. jaraknya pun dekat banget, ga lebih dari 2km. harusnya grab bisa lacak, itu perjalanannya ngelewatin tol atau engga. dan kalo bayar parkir, lihat si drivernya diem berapa lama. ini ga parkir, tiba2 bayar 10rb, wkwkw. kecewa bgt si, udah pake grab bertahun2 padahal...",1
tidak jelas,1
GRAB MURAH BGT GA KAYA APLIKASI SEBELAH,5
pelyanan baik,5
baik bapaknya,5
pakai aplikasi ini sungguh luar biasa bagus 🥰,5
keren,5
bagus,4
jelek,1
mantap,5
ok banget....,5
nunggu 3 jam lebih buat driver makanan yang engga kunjung ada 😔 aku harus gimana? padahal makanan udah jadi tapi nggak bisa dibatalin buat gnti metode pembayaran,3
sangat puas,5
"⭐⭐⭐⭐⭐ Ulasan untuk Grab Grab Indonesia⁠� ""Grab adalah aplikasi serbaguna yang sangat membantu dalam aktivitas sehari-hari. Selain menyediakan layanan transportasi online, Grab juga menawarkan pesan-antar makanan, pengiriman barang, dan pembayaran digital dalam satu aplikasi. Antarmukanya mudah dipahami, proses pemesanan cepat, dan fitur pelacakan lokasi secara real-time membuat pengguna merasa lebih nyaman dan aman. Grab juga sering menghadirkan promo menarik yang dapat menghemat biaya.",5
gabut,1
Driver memberikan kembalian tidak sesuai,1
lama di download a,4
"pelayanan memuaskan, mengerti keluhan mitra",5
"overprice, harga ongkir nya gangotak bgt, hmpir setengahnya dari barang yg dibeli",1
"sell Singapore!, aplikasinya jelek bgt'",1
"you need to Drive?good? foods? just download grab, the best app for you need!",5
baik,5
oke,5
👍,5
bagus,5
cepat dan tepat,5
"Grab is a versatile app that offers transportation, food delivery, and other services in one platform. It is very convenient for daily needs, with real-time tracking and multiple payment options.",5
cuhh,1
"apk scam, mau beli makanan harga awal 60k, gara"" saldo kurang jadinya isi dulu, pas udah topup eh harga jadi 90k? diskon ilang semua",1
serba mahal,1
terlalu banyak keterbatasan promo jadi kami sebagai pengguna grab sgt kecewa jika ingin belanja makanan maupun barang,1
sangat bagus,5
"ada salah satu driver gojek, yg dimana dia gak sabaran dan menyalip menggunakan bahu jalan pdhl itu buat pejalan kaki, dan saya yg mengantri dijalan paling kiri ( bukan dibahu jalan ) jalan saya dipotong oleh driver ojol tersebut, dan disitu saya kaget dan reflek nurunin gear.... tanpa sadar ternyata turun ke gear 0, dan motor saya meraung serta badan saya hampir jatuh... dia marah2 dengan menyebutkan beberapa kalimat toxic kpd saya, dan menyebut saya gak sabaran, pdhl dia yg motong jalan saya",1
"grab membantu sy kemana mana, d saat sy tdk membawa kendaraan pribadi. 👍",5
respon baik,5
ok,5
Nama Brand yang tidak sesuai fakta lapangan. Akun / Toko dari Total Buah Segar Tangerang Banten telah sengaja menyalahgunakan nama brand dari Total Buah Segar,1
waktu pengiriman berubah ubah,1
sangat membantu,5
untuk layanan grab food nya sangat lama bisa 1jam lebih,3
jelas dan akurat,5
cepat..nyaman.baik.,5
bagus,5
"mantapp murah""",5
nice,5
okey banget,5
luarrrrr biasaaaa....,5
Mudah dan cepat,5
"jangan gunakan grab terutama untuk grabcar. pengemudi bintang 5 atau 4,9 anda cuma akan disuruh menunggu tapi pengemudi sendiri menjauh. sudah komplain berkali kali ke grab. tidak ada solusi.",1
👍,5
bagus,5
"aplikasi freak klo mo pesen ngelag bgt kocak aneh bgt, map suka ga jalan ga ngerti driver dimana, oneng bgt ni aplikasi kocak",1
"rating 1 krna iklan kamu dimana"", ganggu, d tmbh slalu kepencet masuk pas mau skip!, pdhl udh punya apk, tpi malah ganggu.",3
oke,5
Baik,1
"makin buruk, apa lg grabmart nya hadeh, sering bgt pesen barangnya gk lengkap dan ketika ngadu ke customer service g berguna, krn gk balik jg uangnya, cumn iming2 ganti voucher aja dan kejadian trs kurang2 trs tiap blnja entah 1 atau bisa 3item dan smua uang gada yg balik, kecuali iming2 ganti sm voucher diskon klo kita balik blnja lg bru bsa di pake itu jg ada jangka expired nya.. males sm kebijakannya",1
ok,5
pengemudi baik,5
Bagus👍,5
aplikasinya lelet,1
"klou naik Grab itu aman dan orang' orangnya pada ramah ,baik selamat sampai tujuan trimakasih",5
"Grab has made daily transportation and food delivery much easier. The app is user-friendly, the service is reliable, and the drivers are usually very professional and friendly.",5
buruk pelayanan,1
mahal banget harga nya ga ngotak jujur. #sellsingapore,1
"boikot apk Singapura, gara gara negara itu dolar naik",5
